,IndexOfDate,Date,GapHigh,GapLow,MinPrice,GapTouchDate,GapClosureDate,DaysToClose
5,73,20120702,9.33,9.3,0.19,,,
11,157,20121108,7.96,7.85,0.19,,,
15,183,20121214,7.19,7.18,0.19,,,
16,192,20130103,6.7,6.68,0.19,,,
17,193,20130104,6.68,6.5,0.19,,,
27,302,20130617,4.92,4.91,0.19,,,
28,303,20130618,4.91,4.9,0.19,,,
63,1271,20170515,1.83,1.78,0.19,,,
