,IndexOfDate,Date,GapHigh,GapLow,MinPrice,GapTouchDate,GapClosureDate,DaysToClose
3,103,20110405,36.6,36.55,0.73,,,
9,252,20111108,24.78,24.75,0.73,,,
17,362,20120418,22.4,22.39,0.73,,,
18,371,20120502,18.63,18.5,0.73,,,
19,373,20120507,17.0,16.9,0.73,,,
20,378,20120514,14.75,14.5,0.73,,,
