,IndexOfDate,Date,GapHigh,GapLow,MinPrice,GapTouchDate,GapClosureDate,DaysToClose
72,2163,20150324,44.957,44.874,1.66,,,
73,2198,20150515,39.571,37.531,1.66,,,
77,2274,20150901,29.67,27.643,1.66,,,
81,2400,20160307,18.73,18.336,1.66,,,
