,IndexOfDate,Date,GapHigh,GapLow,MinPrice,GapTouchDate,GapClosureDate,DaysToClose
171,1752,20190702,43.4765,43.0577,22.0,,,
173,1764,20190719,41.6365,41.4688,22.0,,,
