,IndexOfDate,Date,GapHigh,GapLow,MinPrice,GapTouchDate,GapClosureDate,DaysToClose
2,319,20220121,40.12,39.96,17.9,,,
3,328,20220203,38.32,38.08,17.9,,,
10,585,20230210,31.1,30.9,27.15,,,
