,IndexOfDate,Date,GapHigh,GapLow,MinPrice,GapTouchDate,GapClosureDate,DaysToClose
48,1004,20180730,8.6,8.36,0.6,,,
49,1027,20180831,6.96,6.24,0.6,,,
