,IndexOfDate,Date,GapHigh,GapLow,MinPrice,GapTouchDate,GapClosureDate,DaysToClose
42,490,20170530,27.66,27.65,0.6,,,
47,514,20170704,24.92,23.99,0.6,,,
54,587,20171017,19.78,19.5,0.6,,,
125,1544,20211105,3.5,3.45,0.6,,,
134,1763,20220923,1.15,1.13,0.6,,,
143,1878,20230309,0.95,0.94,0.94,,,
