TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
IFI,D,20080929,000000,1.61704,1.69306,1.61704,1.64213,10350.708508749047,0
IFI,D,20080930,000000,1.58531,1.58531,1.56012,1.57884,8395.828051358385,0
IFI,D,20081001,000000,1.63586,1.66749,1.63586,1.66749,713.127123374637,0
IFI,D,20081002,000000,1.61058,1.61058,1.61058,1.61058,172.06264895376393,0
IFI,D,20081003,000000,1.66749,1.66749,1.56012,1.63586,2854.5815374617923,0
IFI,D,20081006,000000,1.54111,1.54748,1.4213,1.45246,7391.4382511403,0
IFI,D,20081007,000000,1.4591,1.4591,1.2568,1.38964,36675.257276692726,0
IFI,D,20081008,000000,1.31363,1.38964,1.26346,1.26346,28968.716343131087,0
IFI,D,20081009,000000,1.28188,1.28188,1.28188,1.28188,472.6540236320245,0
IFI,D,20081010,000000,1.26346,1.26346,1.13688,1.13688,19833.84811885752,0
IFI,D,20081013,000000,1.26346,1.358,1.26346,1.29482,6682.457215692294,0
IFI,D,20081014,000000,1.23809,1.32636,1.19998,1.31363,22502.89222160334,0
IFI,D,20081015,000000,1.28188,1.38964,1.28188,1.38964,14477.102517693795,0
IFI,D,20081016,000000,1.28188,1.28834,1.23152,1.28834,7830.923571359543,0
IFI,D,20081017,000000,1.24417,1.24417,1.22535,1.22535,12525.331626248617,0
IFI,D,20081020,000000,1.19998,1.19998,1.19998,1.19998,1581.7325439966369,0
IFI,D,20081021,000000,1.16833,1.19379,1.16833,1.19379,4583.500202852672,0
IFI,D,20081022,000000,1.13688,1.13688,1.07378,1.07378,2218.1570407292656,0
IFI,D,20081023,000000,1.01686,1.07378,1.01078,1.0677,25434.176385707484,0
IFI,D,20081024,000000,0.997956,0.997956,0.985312,0.985312,6461.67803360098,0
IFI,D,20081027,000000,0.940935,1.18754,0.940935,1.18754,17226.99533500924,0
IFI,D,20081028,000000,1.22535,1.25063,1.16833,1.21271,7610.144389268229,0
IFI,D,20081029,000000,1.23152,1.28834,1.22535,1.22535,2293.8231453896215,0
IFI,D,20081030,000000,1.23152,1.24417,1.23152,1.23152,6888.7250900404115,0
IFI,D,20081031,000000,1.16833,1.21898,1.16833,1.21898,4096.334871477572,0
IFI,D,20081103,000000,1.21271,1.21271,1.19998,1.19998,7454.666092020846,0
IFI,D,20081104,000000,1.26346,1.30118,1.26346,1.30118,669.5932001453697,0
IFI,D,20081105,000000,1.32,1.42766,1.19998,1.4213,39454.17270949416,0
IFI,D,20081106,000000,1.39592,1.53494,1.39592,1.53494,40118.5832997318,0
IFI,D,20081107,000000,1.44667,1.48429,1.44667,1.48429,2282.4214035915033,0
IFI,D,20081110,000000,1.44667,1.44667,1.34537,1.39592,11195.473923792975,0
IFI,D,20081112,000000,1.31363,1.31363,1.31363,1.31363,553.5027382006637,0
IFI,D,20081113,000000,1.28188,1.28188,1.25063,1.25063,2.0730439632983066,0
IFI,D,20081114,000000,1.36408,1.36408,1.30735,1.36408,5096.578583768986,0
IFI,D,20081117,000000,1.26346,1.26346,1.26346,1.26346,80.8487145686362,0
IFI,D,20081118,000000,1.19998,1.23809,1.19379,1.23809,10243.946744638606,0
IFI,D,20081119,000000,1.17489,1.17489,1.17489,1.17489,392.8418310450378,0
IFI,D,20081120,000000,1.11151,1.15589,1.11151,1.15589,11622.520980232712,0
IFI,D,20081121,000000,1.21271,1.21271,1.21271,1.21271,158.58786319232067,0
IFI,D,20081124,000000,1.21271,1.22535,1.21271,1.22535,2107.2491886927614,0
IFI,D,20081125,000000,1.22535,1.54111,1.22535,1.54111,67605.07320910454,0
IFI,D,20081126,000000,1.47155,1.56012,1.38964,1.56012,12016.399333258874,0
IFI,D,20081127,000000,1.57276,1.71805,1.57276,1.62322,14717.575617436873,0
IFI,D,20081128,000000,1.64213,1.64213,1.54111,1.54111,6738.429402701291,0
IFI,D,20081201,000000,1.40228,1.45246,1.40228,1.45246,5714.345684831948,0
IFI,D,20081202,000000,1.4213,1.49046,1.358,1.49046,7609.107867286637,0
IFI,D,20081203,000000,1.48429,1.49046,1.48429,1.49046,33409.176512516795,0
IFI,D,20081204,000000,1.5222,1.5222,1.5222,1.5222,19.693917651334523,0
IFI,D,20081205,000000,1.50947,1.50947,1.43393,1.43393,284.0070229718798,0
IFI,D,20081208,000000,1.49703,1.49703,1.49703,1.49703,589.7810075583831,0
IFI,D,20081210,000000,1.50947,1.50947,1.45246,1.45246,5984.877922042406,0
IFI,D,20081212,000000,1.38964,1.38964,1.35154,1.35154,3151.026824213463,0
IFI,D,20081215,000000,1.39592,1.39592,1.38964,1.38964,6705.260699288529,0
IFI,D,20081216,000000,1.4213,1.45246,1.38964,1.45246,800.1949698331614,0
IFI,D,20081217,000000,1.4591,1.4591,1.39592,1.4591,10406.680695758245,0
IFI,D,20081218,000000,1.39592,1.44021,1.38964,1.44021,2157.002243811904,0
IFI,D,20081223,000000,1.358,1.358,1.358,1.358,1137.064613869131,0
IFI,D,20081229,000000,1.358,1.358,1.358,1.358,998.1706683281593,0
IFI,D,20081230,000000,1.38337,1.4213,1.38337,1.4213,3198.70683536932,0
IFI,D,20081231,000000,1.42766,1.42766,1.42766,1.42766,5256.202968942939,0
IFI,D,20090105,000000,1.46528,1.51603,1.44667,1.44667,847.8749809890289,0
IFI,D,20090106,000000,1.50947,1.61058,1.50947,1.50947,17226.99533500924,0
IFI,D,20090107,000000,1.59166,1.88853,1.59166,1.67377,24958.4127961303,0
IFI,D,20090108,000000,1.67377,1.67377,1.67377,1.67377,26.949571522878394,0
IFI,D,20090109,000000,1.61058,1.61058,1.53494,1.57276,7022.436425673151,0
IFI,D,20090113,000000,1.4213,1.49703,1.4213,1.49703,4681.969791109365,0
IFI,D,20090114,000000,1.54111,1.54111,1.4591,1.50947,1460.4594721437084,0
IFI,D,20090115,000000,1.5222,1.54748,1.5222,1.54748,1005.4263221997071,0
IFI,D,20090116,000000,1.47155,1.47155,1.47155,1.47155,3166.5746539382517,0
IFI,D,20090119,000000,1.50947,1.50947,1.50947,1.50947,3043.228538122038,0
IFI,D,20090120,000000,1.51603,1.51603,1.44021,1.44667,6029.448367253285,0
IFI,D,20090121,000000,1.358,1.44667,1.358,1.44667,11084.566071755964,0
IFI,D,20090122,000000,1.358,1.358,1.358,1.358,5525.698684171804,0
IFI,D,20090123,000000,1.28188,1.44667,1.2758,1.40228,5999.3892297854,0
IFI,D,20090126,000000,1.40855,1.40855,1.35154,1.35154,6588.133715362172,0
IFI,D,20090128,000000,1.358,1.40228,1.35154,1.35154,10354.854596675616,0
IFI,D,20090129,000000,1.34537,1.34537,1.34537,1.34537,473.6905456136771,0
IFI,D,20090130,000000,1.34537,1.35154,1.32636,1.35154,1524.7238350059467,0
IFI,D,20090202,000000,1.26346,1.26346,1.25063,1.2568,3938.783530266904,0
IFI,D,20090203,000000,1.25063,1.32636,1.25063,1.25063,7915.918373854732,0
IFI,D,20090204,000000,1.22535,1.22535,1.22535,1.22535,2376.7449039215253,0
IFI,D,20090205,000000,1.19998,1.22535,1.19998,1.22535,795.0123599249187,0
IFI,D,20090206,000000,1.19998,1.23152,1.19998,1.21271,2376.7449039215253,0
IFI,D,20090209,000000,1.21898,1.21898,1.21898,1.21898,502.7131610998485,0
IFI,D,20090210,000000,1.23152,1.29482,1.23152,1.29482,6532.161528353174,0
IFI,D,20090211,000000,1.32,1.32,1.2568,1.2568,10715.564246289221,0
