TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
ARH,D,20160718,000000,7.59465,7.59465,7.46562,7.46562,718.1837838218513,0
ARH,D,20160719,000000,7.45448,7.45448,7.43147,7.43147,2070.122007831735,0
ARH,D,20160720,000000,7.44785,7.61626,7.44785,7.61626,4122.075675894167,0
ARH,D,20160721,000000,7.61626,7.61626,7.4033,7.42117,270.3876448019767,0
ARH,D,20160722,000000,7.71704,7.73407,7.71704,7.73407,1417.130502005617,0
ARH,D,20160725,000000,7.84616,8.12575,7.57163,8.12575,2766.931274277936,0
ARH,D,20160726,000000,8.12575,8.22213,8.12575,8.22213,1856.3768340752315,0
ARH,D,20160727,000000,8.23879,8.23879,8.22213,8.22213,179.54594595546283,0
ARH,D,20160728,000000,8.12575,8.12575,8.12575,8.12575,179.54594595546283,0
ARH,D,20160729,000000,8.12089,8.37867,8.12089,8.37867,672.2285714642031,0
ARH,D,20160801,000000,8.09234,8.09234,8.09234,8.09234,179.54594595546283,0
ARH,D,20160804,000000,8.32253,8.32253,8.32253,8.32253,42.74903475130067,0
ARH,D,20160808,000000,8.09824,8.09824,8.09824,8.09824,545.0501930790836,0
ARH,D,20160809,000000,8.12089,8.12089,8.12089,8.12089,179.54594595546283,0
ARH,D,20160810,000000,8.12089,8.12089,8.09234,8.09234,355.8857143045781,0
ARH,D,20160811,000000,8.12575,8.12575,8.12575,8.12575,339.8548262728403,0
ARH,D,20160812,000000,8.15513,8.40066,8.15513,8.40066,1517.590733671174,0
ARH,D,20160816,000000,8.13754,8.40066,8.09234,8.40066,365.5042471236207,0
ARH,D,20160817,000000,8.09824,8.40066,8.09824,8.40066,42.74903475130067,0
ARH,D,20160818,000000,8.40066,8.40066,8.40066,8.40066,266.1127413268467,0
ARH,D,20160824,000000,8.29408,8.29408,8.07644,8.26648,1199.1104247739836,0
ARH,D,20160829,000000,8.07063,8.23879,8.07063,8.23879,412.52818535005144,0
ARH,D,20160830,000000,8.10404,8.10404,8.07063,8.07063,1203.3853282491139,0
ARH,D,20160831,000000,8.23879,8.44567,8.12575,8.37867,14040.920464065128,0
ARH,D,20160901,000000,8.37867,8.39626,8.37867,8.39626,1459.879536756918,0
ARH,D,20160902,000000,8.37867,8.37867,8.09824,8.35107,1225.8285714935466,0
ARH,D,20160905,000000,8.34508,8.34508,8.09824,8.23879,795.1320463741924,0
ARH,D,20160906,000000,8.11584,8.32253,8.11584,8.32253,1230.103474968677,0
ARH,D,20160907,000000,8.31167,8.40767,8.31167,8.40767,9054.245560325482,0
ARH,D,20160908,000000,8.40066,8.51902,8.35107,8.51902,67313.69884526734,0
ARH,D,20160909,000000,8.4625,8.65938,8.40767,8.51902,97845.05946464564,0
ARH,D,20160912,000000,8.32253,8.32253,8.23879,8.23879,32052.157530656776,0
ARH,D,20160913,000000,8.23879,8.23879,8.23879,8.23879,3905.124324531316,0
ARH,D,20160914,000000,8.16103,8.16103,8.16103,8.16103,35.26795366982305,0
ARH,D,20160915,000000,8.16514,8.60286,8.16103,8.56927,17783.59845654108,0
ARH,D,20160916,000000,8.58518,8.60286,8.5746,8.58518,624.1359073689897,0
ARH,D,20160919,000000,8.5746,8.60286,8.5746,8.60286,5867.305019616017,0
ARH,D,20160920,000000,8.51902,8.60286,8.41217,8.4625,529.0193050473458,0
ARH,D,20160921,000000,8.47392,8.63028,8.47392,8.60286,5477.2200775103975,0
ARH,D,20160923,000000,8.60286,8.63028,8.60286,8.63028,1038.8015444566063,0
ARH,D,20160926,000000,8.63028,8.66995,8.37867,8.66995,4508.954440393438,0
ARH,D,20160927,000000,8.496,8.66995,8.49076,8.66995,148.55289576076984,0
ARH,D,20160928,000000,8.49076,8.66995,8.40767,8.66378,135.72818533537964,0
ARH,D,20160929,000000,8.63028,8.74237,8.63028,8.74237,32945.61235695875,0
ARH,D,20160930,000000,8.74237,8.79889,8.74237,8.79889,891.317374564619,0
ARH,D,20161003,000000,8.79889,8.79889,8.74237,8.74237,463.8270270516123,0
ARH,D,20161004,000000,8.74237,8.79889,8.58078,8.69737,5641.803861302906,0
ARH,D,20161006,000000,8.63028,8.69737,8.63028,8.69737,355.8857143045781,0
ARH,D,20161007,000000,8.69737,8.74237,8.69737,8.74237,679.7096525456806,0
ARH,D,20161010,000000,8.74237,8.77597,8.54719,8.64702,21913.155213516933,0
ARH,D,20161011,000000,8.65938,8.65938,8.65938,8.65938,535.4316602600409,0
ARH,D,20161012,000000,8.63028,8.63028,8.63028,8.63028,179.54594595546283,0
ARH,D,20161013,000000,8.65938,8.78214,8.65938,8.78214,6527.777606523612,0
ARH,D,20161014,000000,8.68764,8.68764,8.68764,8.68764,90.84169884651392,0
ARH,D,20161017,000000,8.5746,8.77597,8.5746,8.68764,987.5027027550454,0
ARH,D,20161018,000000,8.68764,8.68764,8.68764,8.68764,10312.135907882503,0
ARH,D,20161019,000000,8.78831,8.78831,8.78214,8.78214,196.64555985598307,0
ARH,D,20161021,000000,8.68764,8.68764,8.68764,8.68764,365.5042471236207,0
ARH,D,20161024,000000,8.68764,8.68764,8.5746,8.5746,2078.671814781995,0
ARH,D,20161025,000000,8.75912,8.75912,8.75912,8.75912,285.34980696493193,0
ARH,D,20161027,000000,8.5746,8.68764,8.40767,8.54102,1524.0030888838687,0
ARH,D,20161028,000000,8.54719,8.54719,8.54719,8.54719,2.1374517375650335,0
ARH,D,20161031,000000,8.54719,8.67706,8.54719,8.67706,4415.975289809359,0
ARH,D,20161103,000000,8.37867,8.45717,8.35603,8.45717,1700.3428572329842,0
ARH,D,20161104,000000,8.45717,8.61343,8.45717,8.61343,1778.3598456541079,0
ARH,D,20161107,000000,8.40767,8.40767,8.40767,8.40767,90.84169884651392,0
ARH,D,20161109,000000,8.4625,8.66378,8.4625,8.66378,76.9482625523412,0
ARH,D,20161110,000000,8.40767,8.5746,8.40767,8.40767,353.74826256701306,0
ARH,D,20161114,000000,8.32253,8.49076,8.32253,8.40767,3989.5536681651347,0
ARH,D,20161115,000000,8.38362,8.49076,8.38362,8.40767,553.6000000293436,0
ARH,D,20161116,000000,8.32758,8.32758,8.32253,8.32758,412.52818535005144,0
ARH,D,20161117,000000,8.48543,8.48543,8.48543,8.48543,24.580694981997883,0
ARH,D,20161118,000000,8.48543,8.53043,8.29408,8.29408,4261.010038835894,0
ARH,D,20161121,000000,8.35107,8.40767,8.35107,8.40767,2547.8424711775197,0
ARH,D,20161122,000000,8.24384,8.35107,8.23879,8.35107,470.2393822643074,0
ARH,D,20161123,000000,8.31672,8.40066,8.31672,8.40066,1365.8316603040564,0
ARH,D,20161124,000000,8.39626,8.39626,8.23879,8.23879,769.482625523412,0
ARH,D,20161125,000000,8.23879,8.23879,8.23879,8.23879,101.5289575343391,0
ARH,D,20161128,000000,8.18274,8.40767,8.18274,8.38362,2094.7027028137327,0
ARH,D,20161129,000000,8.40066,8.40767,8.38915,8.38915,538.6378378663884,0
ARH,D,20161130,000000,8.40066,8.40066,8.18274,8.40066,241.53204634484877,0
ARH,D,20161201,000000,8.39626,8.39626,8.39626,8.39626,7.481081081477617,0
ARH,D,20161202,000000,8.39626,8.39626,8.18274,8.18274,168.85868726763763,0
ARH,D,20161205,000000,8.38362,8.38362,8.18779,8.18779,67.32972973329855,0
ARH,D,20161206,000000,8.18274,8.18274,8.07063,8.18274,2621.5845561235137,0
ARH,D,20161207,000000,8.09824,8.09824,7.90259,8.09824,1153.1552124163354,0
ARH,D,20161208,000000,8.12575,8.12575,8.12575,8.12575,591.0054054367317,0
ARH,D,20161212,000000,7.79049,8.15513,7.79049,8.15513,2738.075675820808,0
ARH,D,20161213,000000,8.28903,8.40767,8.28903,8.40767,8934.54826302184,0
ARH,D,20161214,000000,8.41217,8.60286,8.41217,8.60286,806.8880309308001,0
ARH,D,20161215,000000,8.62579,8.77147,8.62579,8.77147,20233.118147790185,0
ARH,D,20161216,000000,8.78831,8.91061,8.78831,8.79889,8099.873359502694,0
ARH,D,20161219,000000,8.79889,8.79889,8.35107,8.79889,3319.462548438497,0
ARH,D,20161220,000000,8.68764,8.68764,8.68764,8.68764,891.317374564619,0
ARH,D,20161221,000000,8.78831,8.78831,8.54719,8.68764,190.233204643288,0
ARH,D,20161223,000000,8.74237,8.74237,8.74237,8.74237,7.481081081477617,0
ARH,D,20161227,000000,8.73704,8.73704,8.73704,8.73704,81.22316602747128,0
ARH,D,20161228,000000,8.68764,8.68764,8.68764,8.68764,271.45637067075927,0
ARH,D,20161229,000000,8.67706,8.67706,8.54719,8.59229,2148.1389962528588,0
ARH,D,20161230,000000,8.54719,8.54719,8.54719,8.54719,714.9776062155037,0
ARH,D,20170102,000000,8.54719,8.5746,8.54719,8.54719,2265.6988418189353,0
ARH,D,20170103,000000,8.68764,8.91061,8.40767,8.54102,11186.35366854671,0
ARH,D,20170104,000000,8.53043,8.53043,8.40767,8.40767,888.1111969582713,0
ARH,D,20170105,000000,8.40767,8.40767,8.15513,8.23879,4949.269498331835,0
ARH,D,20170109,000000,8.4625,8.54102,8.4625,8.54102,2123.5583012708607,0
ARH,D,20170110,000000,8.40767,8.40767,8.40767,8.40767,14.962162162955234,0
ARH,D,20170111,000000,8.54102,8.54719,8.54102,8.54719,1872.4077221069695,0
ARH,D,20170112,000000,8.54719,8.74237,8.54719,8.74237,17861.615444962095,0
ARH,D,20170113,000000,8.73704,8.73704,8.51902,8.5252,201.98918919989563,0
ARH,D,20170116,000000,8.74237,8.74237,8.51902,8.5746,2433.4888032177905,0
ARH,D,20170117,000000,8.69737,8.69737,8.69737,8.69737,2.1374517375650335,0
ARH,D,20170118,000000,8.68764,8.68764,8.68764,8.68764,2.1374517375650335,0
ARH,D,20170119,000000,8.68052,8.68052,8.5252,8.5252,554.6687258981261,0
ARH,D,20170120,000000,8.41217,8.63028,8.40767,8.41217,8892.867954139321,0
ARH,D,20170123,000000,8.35107,8.63028,8.35107,8.63028,1862.7891892879265,0
ARH,D,20170124,000000,8.63028,8.74237,8.35603,8.74237,8277.281853720591,0
ARH,D,20170125,000000,8.73704,8.73704,8.41217,8.73704,7230.999228182509,0
ARH,D,20170126,000000,8.68764,8.68764,8.68764,8.68764,188.09575290572292,0
ARH,D,20170127,000000,8.68764,8.68764,8.68764,8.68764,2696.3953669382895,0
ARH,D,20170130,000000,8.78214,8.78214,8.78214,8.78214,2007.0671815735664,0
ARH,D,20170131,000000,8.78214,8.78214,8.74237,8.74237,1385.0687259421416,0
ARH,D,20170201,000000,8.73704,8.73704,8.73704,8.73704,145.34671815442226,0
ARH,D,20170202,000000,8.68764,8.68764,8.40767,8.40767,1036.6640927190413,0
