TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
VOT,D,20101220,000000,2.74859,2.93355,2.67848,2.77413,322909.7821785344,0
VOT,D,20101221,000000,2.78681,2.89543,2.67848,2.85711,111578.9108911985,0
VOT,D,20101222,000000,2.86979,3.15675,2.86355,2.90177,289949.6435646407,0
VOT,D,20101223,000000,2.92098,3.04842,2.85711,2.86979,44173.069306974,0
VOT,D,20101227,000000,2.93355,2.93355,2.68492,2.86979,34219.4851485484,0
VOT,D,20101228,000000,2.81245,2.91435,2.72938,2.90801,22824.7722772501,0
VOT,D,20101229,000000,2.87602,2.87602,2.80602,2.80602,22492.5148515072,0
VOT,D,20101230,000000,2.78681,2.80602,2.72938,2.80602,5900.8514851543005,0
VOT,D,20101231,000000,2.81245,2.90801,2.74859,2.90801,10737.2673267432,0
VOT,D,20110103,000000,2.8379,2.90177,2.80602,2.8379,42646.0990099428,0
VOT,D,20110104,000000,2.84434,2.84434,2.74225,2.83166,15349.4851485299,0
VOT,D,20110105,000000,2.76146,3.05475,2.67848,2.85068,69379.1881188799,0
VOT,D,20110107,000000,2.85068,2.92098,2.74225,2.8379,21599.7623762588,0
VOT,D,20110110,000000,2.69759,2.80602,2.65927,2.79334,13617.5049505084,0
VOT,D,20110111,000000,2.77413,2.80602,2.77413,2.79978,6550.2178217886,0
VOT,D,20110112,000000,2.74225,2.83166,2.6659,2.77413,7807.5445544631,0
VOT,D,20110113,000000,2.78057,2.78057,2.67848,2.74225,4214.3168316873,0
VOT,D,20110114,000000,2.70393,2.70393,2.49995,2.55094,61946.3168317439,0
VOT,D,20110117,000000,2.55094,2.67848,2.48708,2.62758,19159.8415841772,0
VOT,D,20110118,000000,2.62758,2.6466,2.48708,2.60828,15852.4158415997,0
VOT,D,20110119,000000,2.55094,2.71046,2.48708,2.55094,44912.3168317272,0
VOT,D,20110120,000000,2.55094,2.67848,2.48708,2.5955,37640.0198020171,0
VOT,D,20110121,000000,2.58926,2.5955,2.48074,2.55738,15386.851485163601,0
VOT,D,20110124,000000,2.48708,2.57629,2.48708,2.5255,166284.2376239254,0
