TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT
ATG,D,20040109,000000,1.06157,1.12635,1.05646,1.10134,11736869.452516,0
ATG,D,20040112,000000,1.09651,1.09651,1.03145,1.06157,925754.77468878,0
ATG,D,20040113,000000,1.05646,1.08137,1.03657,1.07635,1474966.0036955,0
ATG,D,20040114,000000,1.05646,1.06157,1.04661,1.04661,134910.14432721,0
ATG,D,20040115,000000,1.03657,1.05144,1.03657,1.05144,193441.21590821,0
ATG,D,20040116,000000,1.05144,1.05144,1.01658,1.0217,281862.41724381,0
ATG,D,20040119,000000,1.0217,1.0217,0.981548,0.981548,486805.63052699,0
ATG,D,20040120,000000,0.986753,1.00664,0.986753,0.986753,245669.32204276,0
ATG,D,20040121,000000,0.986753,1.01175,0.986753,1.00664,459145.96293874,0
ATG,D,20040122,000000,0.996605,1.01658,0.996605,1.01658,87713.220580433,0
ATG,D,20040123,000000,1.0217,1.07151,1.01658,1.03657,301690.18222285,0
ATG,D,20040126,000000,1.05646,1.05646,1.04661,1.05144,89117.346546226,0
ATG,D,20040127,000000,1.0664,1.07151,1.02653,1.02653,588906.56943277,0
ATG,D,20040128,000000,1.03145,1.03145,1.00664,1.01175,65457.017053657,0
ATG,D,20040129,000000,0.996605,1.00664,0.996605,1.00153,231699.07565206,0
ATG,D,20040130,000000,0.996605,1.01175,0.996605,1.01175,238869.26372566,0
ATG,D,20040202,000000,1.01658,1.0217,1.01175,1.0217,129760.60649403,0
ATG,D,20040203,000000,1.0217,1.03145,1.01175,1.01175,84047.429649047,0
ATG,D,20040204,000000,1.01175,1.02653,1.00664,1.02653,104988.81177337,0
ATG,D,20040205,000000,1.03657,1.03657,0.996605,1.00664,152677.44859782,0
ATG,D,20040206,000000,0.996605,1.01175,0.996605,0.996605,64260.551096598,0
ATG,D,20040209,000000,1.03145,1.03145,1.01175,1.02653,155522.28312162,0
ATG,D,20040210,000000,1.02653,1.03657,1.02653,1.03657,176215.11881062,0
ATG,D,20040211,000000,1.0217,1.03657,1.0217,1.03145,131571.44480854,0
ATG,D,20040212,000000,1.03657,1.03657,1.02653,1.03145,18588.2606782,0
ATG,D,20040213,000000,1.03145,1.04661,1.0217,1.02653,121347.68624381,0
